Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
IGG Inc,OTCPK:IGGG.F,IGGG.F,USA,SGP,Entertainment,0.6763,11.9126,472.1716,808.7094,734.8121
Team17 Group plc,OTCPK:TSVN.F,TSVN.F,USA,GBR,Entertainment,0.3397,1.9255,158.9269,116.6116,1082.5061
Sumo Group Plc,OTCPK:SUMG.F,SUMG.F,USA,GBR,Entertainment,0.8725,23.6579,133.3006,128.7262,1140.2479
IMAX Corporation,NYSE:IMAX,IMAX,USA,CAN,Entertainment,1.5745,248.139,420.47,202.301,1153.1329
DouYu International Holdings Limited,NASDAQGS:DOYU,DOYU,USA,CHN,Entertainment,0.853,10.9771,1020.0399,1412.1405,-26.1558
Cineworld Group plc,OTCPK:CNWG.Y,CNWG.Y,USA,GBR,Entertainment,3.4802,8888.2002,-276.6,432.7,9062.1797
Cineworld Group plc,OTCPK:CNNW.F,CNNW.F,USA,GBR,Entertainment,3.4802,8888.2002,-276.6,432.7,9122.2041
Juventus Football Club S.p.A.,OTCPK:JVTS.F,JVTS.F,USA,ITA,Entertainment,1.3537,474.0894,33.7273,559.0782,1339.272
Media and Games Invest SE,OTCPK:MDGI.F,MDGI.F,USA,MLT,Entertainment,0.0955,0,348.0415,279.0155,644.733
"DoubleDown Interactive Co., Ltd.",NASDAQGS:DDI,DDI,USA,KOR,Entertainment,,50.644,846.928,367.939,601.1112
Migom Global Corp.,OTCPK:MGOM,MGOM,USA,USA,Entertainment,,,,,739.9677
Technicolor SA,OTCPK:TCLR.Y,TCLR.Y,USA,FRA,Entertainment,1.6186,1426.9169,162.1496,3273.1064,2041.5391
Rovio Entertainment Oyj,OTCPK:ROVV.F,ROVV.F,USA,FIN,Entertainment,1.0336,8.9182,216.8172,319.4267,424.3327
Cineplex Inc.,OTCPK:CPXG.F,CPXG.F,USA,CAN,Entertainment,3.2121,1479.7443,-157.6839,322.9949,2113.3018
Major Cineplex Group Public Company Limited,OTCPK:MCGR.F,MCGR.F,USA,THA,Entertainment,0.9788,188.4738,240.9375,83.0261,452.7566
Redbox Entertainment Inc.,NASDAQGM:RDBX,RDBX,USA,USA,Entertainment,,0,-19.9409,179.646,585.198
The Marcus Corporation,NYSE:MCS,MCS,USA,USA,Entertainment,1.8213,556.551,442.306,310.98,1106.1932
"PLAYSTUDIOS, Inc.",NASDAQGM:MYPS,MYPS,USA,USA,Entertainment,,0,298.39,279.489,332.2386
"Gravity Co., Ltd.",NASDAQGM:GRVY,GRVY,USA,KOR,Entertainment,-0.093,0,207.231,362.8826,369.5844
"IMAX China Holding, Inc.",OTCPK:IMXC.F,IMXC.F,USA,CHN,Entertainment,0.4463,11.894,250.782,99.1,463.7376
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,OTCPK:BORU.F,BORU.F,USA,DEU,Entertainment,1.1435,70.3556,306.5763,511.3296,604.6345
ILUS International Inc.,OTCPK:ILUS,ILUS,USA,USA,Entertainment,,,,,
"Reservoir Media, Inc.",NASDAQGM:RSVR,RSVR,USA,USA,Entertainment,,207.3792,338.8056,94.3021,694.581
WildBrain Ltd.,OTCPK:WLDB.F,WLDB.F,USA,CAN,Entertainment,0.8807,478.9651,236.398,370.757,1111.8778
Digital Domain Holdings Limited,OTCPK:DGMD.F,DGMD.F,USA,HKG,Entertainment,1.1429,48.6282,148.3121,88.0777,393.6414
G5 Entertainment AB (publ),OTCPK:GENT.F,GENT.F,USA,SWE,Entertainment,0.9136,1.6213,48.645,151.552,433.2753
SciPlay Corporation,NASDAQGS:SCPL,SCPL,USA,USA,Entertainment,0.2615,8.1,511.3,598.8,494.6562
CuriosityStream Inc.,NASDAQCM:CURI,CURI,USA,USA,Entertainment,,0,170.992,55.346,248.3358
Akatsuki Inc.,OTCPK:AKAF.F,AKAF.F,USA,JPN,Entertainment,0.5785,47.2442,324.7435,243.0769,38.4109
Gaumont SA,OTCPK:GMNT.F,GMNT.F,USA,FRA,Entertainment,0.5412,219.1603,244.5683,181.4516,420.839
Nan Hai Corporation Limited,OTCPK:NANH.F,NANH.F,USA,CHN,Entertainment,0.3186,2565.6331,359.5392,1028.7325,2440.179
"Loop Media, Inc.",OTCPK:LPTV,LPTV,USA,USA,Entertainment,,2.982,10.1503,3.2868,315.7075
AFC Ajax NV,OTCPK:AFCJ.F,AFCJ.F,USA,NLD,Entertainment,0.5412,173.8674,263.227,148.4333,439.2145
Cinedigm Corp.,NASDAQGM:CIDM,CIDM,USA,USA,Entertainment,1.4883,0.031,27.521,43.337,258.4321
"Chicken Soup for the Soul Entertainment, Inc.",NASDAQGM:CSSE.N,CSSE.N,USA,USA,Entertainment,1.4283,48.9798,124.1297,94.6592,
"Chicken Soup for the Soul Entertainment, Inc.",NASDAQGM:CSSE.P,CSSE.P,USA,USA,Entertainment,1.4283,48.9798,124.1297,94.6592,
"Chicken Soup for the Soul Entertainment, Inc.",NASDAQGM:CSSE,CSSE,USA,USA,Entertainment,1.4283,48.9798,124.1297,94.6592,220.5695
iHuman Inc.,NYSE:IH,IH,USA,CHN,Entertainment,,3.9776,101.7399,123.0206,97.7245
"Corporación Interamericana de Entretenimiento, S.A.B. de C.V.",OTCPK:CIEZ.F,CIEZ.F,USA,MEX,Entertainment,0.7788,208.069,24.5571,180.045,227.5165
A.S. Roma S.P.A.,OTCPK:ASRA.F,ASRA.F,USA,ITA,Entertainment,3.1164,397.1383,-324.056,219.158,614.6812
The9 Limited,NASDAQCM:NCTY,NCTY,USA,CHN,Entertainment,1.3013,12.1146,132.7917,19.5035,88.3717
"Golden Matrix Group, Inc.",OTCPK:GMGI,GMGI,USA,USA,Entertainment,2.3106,0.2987,15.594,9.3335,181.4606
"StemGen, Inc.",OTCPK:SGNI,SGNI,USA,USA,Entertainment,-3.2964,0.8123,-1.334,0.039,183.4972
Thunderbird Entertainment Group Inc.,OTCPK:THBR.F,THBR.F,USA,CAN,Entertainment,2.3059,50.7886,52.7992,100.0955,212.7179
